Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-04-14;Venezuela;521714;5698;0;1.09;0.00;98.91
2022-04-14;Samoa;4092;9;0;0.22;0.00;99.78
2022-04-14;Zimbabwe;247160;5460;0;2.21;0.00;97.79
2022-04-14;Afghanistan;178295;7676;0;4.31;0.00;95.69
2022-04-14;Angola;99194;1900;0;1.92;0.00;98.08
2022-04-14;Belgique;3943831;31079;0;0.79;0.00;99.21
2022-04-14;Saint Barthélemy;4313;6;0;0.14;0.00;99.86
2022-04-14;Bhoutan;47187;14;0;0.03;0.00;99.97
2022-04-14;République Tchèque;3875994;39945;0;1.03;0.00;98.97
2022-04-14;Algérie;265731;6874;0;2.59;0.00;97.41
2022-04-14;Espagne;11627487;103104;0;0.89;0.00;99.11
2022-04-14;Îles Féroé;34658;28;0;0.08;0.00;99.92
2022-04-14;Guyane Française;79529;394;0;0.50;0.00;99.50
2022-04-14;Guinée;36502;440;0;1.21;0.00;98.79
2022-04-14;Croatie;1110989;15707;0;1.41;0.00;98.59
2022-04-14;Italie;15467395;161187;0;1.04;0.00;98.96
2022-04-14;Kirghizistan;200973;2991;0;1.49;0.00;98.51
2022-04-14;Corée du Sud;15979061;20352;0;0.13;0.00;99.87
2022-04-14;Sainte-Lucie;23045;365;0;1.58;0.00;98.42
2022-04-14;Luxembourg;227528;1052;0;0.46;0.00;99.54
2022-04-14;Montenegro;233908;2708;0;1.16;0.00;98.84
2022-04-14;Birmanie;612460;19434;0;3.17;0.00;96.83
2022-04-14;Malaisie;4352611;35363;0;0.81;0.00;99.19
2022-04-14;Nigéria;255633;3142;0;1.23;0.00;98.77
2022-04-14;Papouasie-Nouvelle-Guinée;43615;649;0;1.49;0.00;98.51
2022-04-14;Réunion;360445;731;0;0.20;0.00;99.80
2022-04-14;Îles Salomon;12285;139;0;1.13;0.00;98.87
2022-04-14;Slovénie;992497;6545;0;0.66;0.00;99.34
2022-04-14;Somalie;26471;1361;0;5.14;0.00;94.86
2022-04-14;Eswatini;70048;1395;0;1.99;0.00;98.01
2022-04-14;Tadjikistan;17786;125;0;0.70;0.00;99.30
2022-04-14;Turquie;14978031;98493;0;0.66;0.00;99.34
2022-04-14;Ouganda;164024;3596;0;2.19;0.00;97.81
2022-04-14;St-Vincent / Grenadines;8344;106;0;1.27;0.00;98.73
2022-04-14;Zambie;318113;3969;0;1.25;0.00;98.75
2022-04-14;Émirats Arabes Unis;894523;2302;0;0.26;0.00;99.74
2022-04-14;Australie;5262359;6693;0;0.13;0.00;99.87
2022-04-14;Bangladesh;1952162;29124;0;1.49;0.00;98.51
2022-04-14;Bénin;26952;163;0;0.60;0.00;99.40
2022-04-14;Bahamas;33368;789;0;2.36;0.00;97.64
2022-04-14;Canada;3609318;38189;0;1.06;0.00;98.94
2022-04-14;Côte d'Ivoire;81838;797;0;0.97;0.00;99.03
2022-04-14;Costa Rica;844892;8357;0;0.99;0.00;99.01
2022-04-14;Chypre;462945;989;0;0.21;0.00;99.79
2022-04-14;République Dominicaine;578626;4375;0;0.76;0.00;99.24
2022-04-14;Érythrée;9733;103;0;1.06;0.00;98.94
2022-04-14;Géorgie;1652235;16781;0;1.02;0.00;98.98
2022-04-14;Gambie;11990;365;0;3.04;0.00;96.96
2022-04-14;Guatemala;837087;17411;0;2.08;0.00;97.92
2022-04-14;Honduras;421268;10888;0;2.58;0.00;97.42
2022-04-14;Israël;4016912;10601;0;0.26;0.00;99.74
2022-04-14;Islande;183974;110;0;0.06;0.00;99.94
2022-04-14;Kenya;323588;5649;0;1.75;0.00;98.25
2022-04-14;Liban;1095099;10353;0;0.95;0.00;99.05
2022-04-14;Lituanie;1045085;8988;0;0.86;0.00;99.14
2022-04-14;Moldavie;515804;11474;0;2.22;0.00;97.78
2022-04-14;Mali;30602;729;0;2.38;0.00;97.62
2022-04-14;Mauritanie;58680;982;0;1.67;0.00;98.33
2022-04-14;Mexique;5724611;323848;0;5.66;0.00;94.34
2022-04-14;Polynésie Française;72596;648;0;0.89;0.00;99.11
2022-04-14;Qatar;363139;677;0;0.19;0.00;99.81
2022-04-14;Arabie Saoudite;752188;9062;0;1.20;0.00;98.80
2022-04-14;Sénégal;85954;1965;0;2.29;0.00;97.71
2022-04-14;Syrie;55756;3148;0;5.65;0.00;94.35
2022-04-14;Thaïlande;3973003;26510;0;0.67;0.00;99.33
2022-04-14;Tonga;8761;11;0;0.13;0.00;99.87
2022-04-14;Ukraine;5040518;112459;0;2.23;0.00;97.77
2022-04-14;Vatican;29;0;0;0.00;0.00;100.00
2022-04-14;Vanuatu;5543;6;0;0.11;0.00;99.89
2022-04-14;Afrique du Sud;3735578;100132;0;2.68;0.00;97.32
2022-04-14;Andorre;40709;153;0;0.38;0.00;99.62
2022-04-14;Arménie;422711;8621;0;2.04;0.00;97.96
2022-04-14;Autriche;4016540;16324;0;0.41;0.00;99.59
2022-04-14;Barbade;62968;379;0;0.60;0.00;99.40
2022-04-14;Burundi;38722;38;0;0.10;0.00;99.90
2022-04-14;Brésil;30210934;661904;0;2.19;0.00;97.81
2022-04-14;Belize;57331;672;0;1.17;0.00;98.83
